Sample in Buffer,Sample in Window,TRIGGER,daq_stream[0]_1[31:0],daq_stream[1]_1[31:0],daq_stream_k[0]_1[3:0],daq_stream_k[1]_1[3:0],daq_data_type[0][1:0],daq_data_type[1][1:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
312,312,0,068ffe00,000000bc,0,1,0,3
313,313,0,001cfe90,000000bc,0,1,0,3
314,314,0,83ffcfec,000000bc,0,1,0,3
315,315,0,f43fe000,000000bc,0,1,0,3
316,316,0,ffb0024f,000000bc,0,1,0,3
317,317,0,cfff0048,000000bc,0,1,0,3
318,318,0,e8ff7000,000000bc,0,1,0,3
319,319,0,fd4ff63f,000000bc,0,1,0,3
320,320,0,3fe40023,000000bc,0,1,0,3
321,321,0,7003000b,000000bc,0,1,0,3
322,322,0,103fe000,000000bc,0,1,0,3
323,323,0,00d002c0,000000bc,0,1,0,3
324,324,0,8c7015e0,000000bc,0,1,0,3
325,325,0,98057270,000000bc,0,1,0,3
326,326,0,9642503c,000000bc,0,1,0,3
327,327,0,33ec3b90,000000bc,0,1,0,3
328,328,0,123a4b4c,000000bc,0,1,0,3
329,329,0,7921fc58,000000bc,0,1,0,3
330,330,0,ea40798c,000000bc,0,1,0,3
331,331,0,02422710,000000bc,0,1,0,3
332,332,0,200563e6,000000bc,0,1,0,3
333,333,0,0fcdef38,000000bc,0,1,0,3
334,334,0,0800df42,000000bc,0,1,0,3
335,335,0,d0c508f7,000000bc,0,1,0,3
336,336,0,d803d0de,000000bc,0,1,0,3
337,337,0,0f937841,000000bc,0,1,0,3
338,338,0,ca4d1ff8,000000bc,0,1,0,3
339,339,0,00b1e1b6,000000bc,0,1,0,3
340,340,0,480c290d,000000bc,0,1,0,3
341,341,0,261c90f0,000000bc,0,1,0,3
342,342,0,21038702,000000bc,0,1,0,3
343,343,0,562d9032,000000bc,0,1,0,3
344,344,0,7831d986,000000bc,0,1,0,3
345,345,0,c2741f3c,000000bc,0,1,0,3
346,346,0,5007311e,000000bc,0,1,0,3
347,347,0,ec43501b,000000bc,0,1,0,3
348,348,0,0c8cc2d3,000000bc,0,1,0,3
349,349,0,0216086e,000000bc,0,1,0,3
350,350,0,422dccc9,000000bc,0,1,0,3
351,351,0,9da3f8c0,000000bc,0,1,0,3
352,352,0,080a20b8,000000bc,0,1,0,3
353,353,0,d88a2205,000000bc,0,1,0,3
354,354,0,79c4473b,000000bc,0,1,0,3
355,355,0,34284600,000000bc,0,1,0,3
356,356,0,9180c0bc,000000bc,0,1,0,3
357,357,0,1412480a,000000bc,0,1,0,3
358,358,0,5482af0f,000000bc,0,1,0,3
359,359,0,8a260a5c,000000bc,0,1,0,3
360,360,0,fcded0f7,000000bc,0,1,0,3
